year,Infrastructure reallocation,Human capital reallocation,Infrastructure + efficiency,Human capital + efficiency
2025,0.0,0.0,0.0,0.0
2026,-0.063,0.177,-0.457,0.454
2027,0.387,-0.125,-0.01,0.04
2028,0.791,-0.233,0.514,-0.18
2029,1.15,-0.187,1.088,-0.23
2030,1.468,-0.028,1.7,-0.138
2031,1.749,0.212,2.341,0.069
2032,1.998,0.509,3.002,0.368
2033,2.218,0.843,3.679,0.741
2034,2.413,1.199,4.367,1.172
2035,2.584,1.567,5.063,1.649
2036,2.736,1.936,5.766,2.16
2037,2.87,2.302,6.476,2.697
2038,2.988,2.659,7.195,3.254
2039,3.091,3.003,7.93,3.825
2040,3.183,3.333,8.691,4.406
2041,3.263,3.646,9.44,5.003
2042,3.334,3.943,10.099,5.623
2043,3.397,4.221,10.678,6.251
2044,3.452,4.482,11.187,6.876
2045,3.5,4.726,11.634,7.488
2046,3.542,4.952,12.027,8.081
2047,3.579,5.161,12.373,8.651
2048,3.612,5.355,12.676,9.194
2049,3.641,5.534,12.943,9.71
2050,3.666,5.698,13.177,10.195
